Item name, Item name gujrati,unit,price /unit
Coconut watered, પાણીવાળું નાળિયેર (Pani valu Naliyer),piece,30
Coconut without water, કોરું નાળિયેર (Koru Naliyer),piece,30
Kanku, કંકુ (Kanku) ,gm,1
Gulal, ગુલાલ (Gulal) ,gm,1
Abel, અબીલ (Abil) ,gm,1
Sakar, સાકર (Sakar) ,kg,150
Drax,,gm,
Common dry fruits, સુકા મેવા (Suka Meva),kg,1000
Supari, સોપારી (Sopari) ,kg,800
Taj, તજ (Taj) ,gm,0.8
Lavang, લવિંગ (Laving) ,gm,0.9
Elichi, એલચી (Elachi) ,gm,3.5
Nadachadi thread, નાડાછડી (Nadachhadi) ,piece,20
Agarbatti, અગરબત્તી (Agarbatti) ,piece,40
Topra na vatka, કોપરાના વાટકા (Kopra na Vatka) ,piece,20
Ganpati Idol, ગણપતિની મૂર્તિ (Ganpati ni Murti) ,piece,250
Bajot, બાજોટ (Bajot) ,piece,1000
Patla, પાટલો (Patlo) ,piece,1000
Kel na pan, કેળના પાન (Kel na Pan) ,piece,30
Tulsi na pan, તુલસીના પાન (Tulsi na Pan) ,piece,0.1
Aasopalav na Pan, આસોપાલવના પાન (Aasopalav na Pan) ,piece,0.5
Nagarvel na pan, નાગરવેલના પાન (Nagarvel na Pan) ,piece,2
Gud, ગોળ (Gol) ,kg,70
Panchamrit, પંચામૃત (Panchamrit) ,mL,2
Chhuta Phool, છૂટા ફૂલ (Chhuta Phool) ,kg,100
Phool Har, ફૂલ હાર (Phool Har) ,piece,40
Kagaj na Duna, કાગળના દુના (Kagaj na Duna) ,piece,0.5
Ghau, ઘઉં (Ghau) ,kg,200
Chokha, ચોખા (Chokha) ,kg,200
Mindhol, મીંઢોળ (Mindhol) ,piece,20
Chali, છાલી (Chhali) ,piece,10
Manik Stambh, માણેક સ્તંભ (Manek Stambh) ,piece,200
Pipal na pan, પીપળના પાન (Pipal na Pan) ,piece,0.2
Pakka fal, પાકા ફળ (Pakka Fal) ,kg,150
Mag, મગ (Mag) ,kg,150
Sutli thread for toran, સૂતળી (Sutli) ,piece,20
Small clay Divda / Kodiya,Divda / Kodiya,piece,10
Utensil aluminium thali, એલ્યુમિનિયમ થાળી (Aluminium Thali) ,piece,100
Vatka, વાટકા (Vatka) ,piece,50
Rakabi, રકાબી (Rakabi) ,piece,50
Lamp, દીવો (Divo) ,piece,150
Ghee , ઘી (Ghee),mL,1
Ghee cotton, વાટ ( Vaat) ,piece,20
Machis, માચીસ (Machis) ,piece,5
Dhana, ધાણા (Dhana) ,kg,600
Guggul, ગુગળ (Gugal) ,gm,800
Cow mud, ગાયનું છાણ (Gay nu Chhan) ,piece,20
Sthapan clothing_other colour, સ્થાપન વસ્ત્રો (Sthapan Vastron) ,piece,50
Sthapan clothing_Red,  સ્થાપન વસ્ત્રો (Sthapan Vastron) _લાલ (Laal),piece,50
Sthapan clothing_Black,  સ્થાપન વસ્ત્રો (Sthapan Vastron) _કાળો (Kalo),piece,50
Sthapan clothing_Green,  સ્થાપન વસ્ત્રો (Sthapan Vastron) _લીલો (Lilo),piece,50
Sthapan clothing_Yellow,  સ્થાપન વસ્ત્રો (Sthapan Vastron) _પીળો (Pilo),piece,50
Sthapan clothing_White,  સ્થાપન વસ્ત્રો (Sthapan Vastron) _સફેદ (Safed),piece,50
Udad, અડદ (Adad) ,kg,200
Chanadal, ચણાની દાળ (Chana ni Dal) ,kg,150
Juvar, જુવાર (Juvar) ,kg,120
Chandan powder, ચંદન પાવડર (Chandan Powder) ,piece,150
Pittal utensils_other, પિત્તળના વાસણો (Pittala na Vasano) ,piece,1000
Pittal utensils_Dish,  પિત્તળના વાસણો_ડીશ (Dish),piece,1000
Pittal utensils_Lota,  પિત્તળના વાસણો_લોટો (Loto) ,piece,700
Pittal utensils_Glass, પિત્તળના વાસણો_ગ્લાસ (Glass),piece,500
Pittal utensils_Dabbo, પિત્તળના વાસણો_ડબ્બો (Dabbo) ,piece,1000
Tramba kumbh, તાંબાનો કુંભ (Tamba no Kumbh) ,piece,1000
Clay kumbh, માટીનો કુંભ (Mati no Kumbh) ,piece,250
Dhoti, ધોતી (Dhoti),piece,400
Jabbha nu kapad, ઝભ્ભાનું કાપડ (Jabbha nu Kapad) ,piece,500
Sari, સાડી (Sari),piece,1000
Chanio, ચાણિયો (Chanio) ,piece,250
Blouse piece, બ્લાઉઝ પીસ (Blouse Piece),piece,250
Godadu, ગોદડું (Godadu) ,piece,2500
Oshiku, ઓશીકું (Oshiku) ,piece,500
Ochad, ઓઢાડ (Ochhad) ,piece,250
Chatri, છત્રી (Chatri) ,piece,200
Chappal, ચપ્પલ (Chappal) ,piece,250
Vas ni chhabdi, વાંસની છાબડી (Vas ni Chhabdi) ,piece,100
Chandla packet, ચાંદલાનું પેકેટ (Chandla nu Packet) ,piece,20
Bangdi, બંગડી (Bangdi) ,piece,50
Ariso, અરીસો (Ariso) ,piece,50
Comb, કાંસકો (Kansko),piece,20
Oil bottle, તેલની બોટલ (Tel ni Bottle) ,piece,40
Kajal, કાજળ (Kajal) ,piece,20
Sent, સેન્ટ (Sent) ,piece,50
Kang, કાંગ (Kang) ,kg,200
Til, તલ (Tal) ,kg,400
Jaar, જાર (Jar) ,kg,150
Moti, મોતી (Moti) ,kg,500
Sutar thread ni dadi, સૂતરની દડી (Sutar ni Dadi) ,piece,10
Kali drax, કાળી દ્રાક્ષ (Kali Drax) ,kg,600
Darbh leaves, દર્ભ (Darbh) ,gm,10
Honey, મધ (Madh),piece,25
Jav, જવ (Jav) ,kg,150
Kamod, કામોદ (Kamod) ,kg,200
Black til, કાળા તલ (Kala Tal) ,kg,200
Jav flour, જવનો લોટ (Jav no Lot) ,kg,400
Udad flour, અડદનો લોટ (Adad no Lot) ,kg,200
Kala til powder, કાળા તલનો પાવડર (Kala Tal no Powder) ,kg,400
Black clay matki, કાળી માટીની માટલી (Kali Mati ni Matli) ,piece,200
Vas ni sundli, વાંસની સુડલી (Vas ni Sudli) ,piece,100
Wood for yagna, યજ્ઞ માટે લાકડું (Yagna mate Lakdu) ,kg,200
Janoi, જનોઈ (Janoi) ,piece,20
Pako Siddho, પાકો સિદ્ધો (Pako Siddho) ,piece,500
Towel, ટુવાલ (Tuval),piece,100
Napkin, નેપકિન (Napkin),piece,50
Male Shirt and Pant Kapad Piece, પુરુષ માટે શર્ટ અને પેન્ટનું કાપડ (Purush mate Shirt ane Pant nu Kapad) ,piece,1000
Water, પાણી (Pani),L,20
Silver turtle, ચાંદીનો કાચબો (Chandi no Kachbo) ,piece,200
Silver snake, ચાંદીનો સાપ (Chandi no Saap) ,piece,200
Tambani Tabudi,તાંબાની તબુડી (Tambani Tabudi),piece,200
Char chock ni mati, ચાર ચોકની માટી (Char Chok ni Mati) ,kg,100
Silver coin, ચાંદી (Chandi) ,piece,500
Aasan, આસન (Aasan) ,piece,250
Chamachi, ચમચી (Chamachi) ,piece,50
Kalash tramba, કળશ તાંબા (Kalash Tamba) ,piece,500
Chundi, ચૂંદડી (Chundi) ,piece,100
Rumal, રૂમાલ (Rumal) ,piece,20
Face powder, ફેસ પાવડર (Face Powder),piece,50
Nail police, નિલ પોલિશ (Nail Polish) ,piece,50
Kapoor, કપૂર (Kapoor ) ,piece,50
Kamalkakdi, કમલ કાકડી (Kamal Kakdi) ,kg,200
Ral no dhup, રાલનો ધૂપ (Ral no Dhup) ,qs,50
Dry coconut powder, કોપરાનો પાવડર (Kopra no Powder) ,qs,50
Sugandhi valo, સુગંધી વાળો (Sugandhi Valo) ,qs,50
Tamal patra, તમાલપત્ર (Tamal Patra) ,qs,50
Dabhdo grass, દર્ભ ઘાસ (Darbh Ghas) ,qs,50
Cow urine, ગૌમૂત્ર (Gomutra) ,qs,20
Chana, ચણા (Chana) ,kg,200
Savliyu, સાવળિયું (Savaliyu) ,piece,250
Trambano trass, તાંબાનો ત્રાંસ (Tamba no Tras) ,piece,1000
Kanthi/Mala, કંઠી/માળા (Kanthi/Mala) ,piece,50
Gaumukhi, ગૌમુખી (Gaumukhi) ,piece,25
Dhramraja silver image foil, ધર્મરાજની ચાંદીની છબી (Dharmaraj ni Chandi ni Chhabi) ,piece,100
Cow silver image foil, ગાયની ચાંદીની છબી (Gay ni Chandi ni Chhabi) ,piece,100
Swastik silver, ચાંદીનો સ્વસ્તિક (Chandi no Swastik) ,piece,100
Nisarani silver, ચાંદીની નિસરણી (Chandi ni Nisarani) ,piece,100
Ship silver, ચાંદીનો જહાજ (Chandi no Nav) ,piece,100
Janoi silver, ચાંદીની જનોઈ (Chandi ni Janoi) ,piece,100
